Entity,Date,Monthly pH measurement
World,1989-11-27,8.1091
World,1990-01-05,8.1101
World,1990-02-15,8.1107
World,1990-03-19,8.1107
World,1990-04-13,8.1112
World,1990-05-09,8.1113
World,1990-06-13,8.112
World,1990-07-25,8.1137
World,1990-09-14,8.1138
World,1990-12-18,8.1145
World,1991-02-03,8.1137
World,1991-03-07,8.1138
World,1991-04-10,8.1133
World,1991-05-08,8.1131
World,1991-06-05,8.1128
World,1991-07-10,8.1122
World,1991-08-10,8.112
World,1991-09-18,8.1125
World,1991-10-21,8.1128
World,1991-12-07,8.1118
World,1992-01-05,8.111
World,1992-02-15,8.1107
World,1992-03-06,8.1105
World,1992-04-17,8.1094
World,1992-06-09,8.109
World,1992-07-05,8.1085
World,1992-08-05,8.1076
World,1992-09-23,8.1073
World,1992-10-20,8.1068
World,1992-11-24,8.1064
World,1992-12-16,8.1068
World,1993-01-20,8.1077
World,1993-02-17,8.1085
World,1993-04-15,8.109
World,1993-05-21,8.1087
World,1993-09-15,8.1069
World,1993-10-30,8.1065
World,1994-01-20,8.1086
World,1994-02-17,8.1093
World,1994-03-09,8.1093
World,1994-06-19,8.1094
World,1994-07-25,8.109
World,1994-08-30,8.1088
World,1994-09-23,8.1092
World,1994-10-15,8.1093
World,1994-11-19,8.1092
World,1995-02-06,8.1036
World,1995-03-04,8.1022
World,1995-04-06,8.1015
World,1995-05-07,8.1012
World,1995-07-30,8.1023
World,1995-08-29,8.1028
World,1995-09-26,8.1031
World,1995-10-27,8.1035
World,1995-11-17,8.104
World,1996-01-17,8.1046
World,1996-03-27,8.1042
World,1996-04-24,8.1044
World,1996-05-22,8.1035
World,1996-06-26,8.1021
World,1996-07-27,8.1014
World,1996-08-21,8.1009
World,1996-10-02,8.1
World,1996-10-30,8.0993
World,1996-12-11,8.0978
World,1997-01-08,8.0975
World,1997-02-18,8.0963
World,1997-03-12,8.0957
World,1997-04-09,8.0959
World,1997-05-07,8.0961
World,1997-06-04,8.0967
World,1997-07-09,8.0973
World,1997-08-02,8.0973
World,1997-09-25,8.0974
World,1997-12-05,8.098
World,1998-01-11,8.0983
World,1998-02-19,8.0999
World,1998-03-18,8.1003
World,1998-04-15,8.0997
World,1998-05-13,8.0997
World,1998-06-17,8.0993
World,1998-07-15,8.0988
World,1998-08-10,8.0983
World,1998-09-28,8.0976
World,1998-10-19,8.0972
World,1998-11-11,8.0964
World,1998-12-09,8.0952
World,1999-01-13,8.0936
World,1999-02-18,8.0919
World,1999-03-17,8.0926
World,1999-04-14,8.0943
World,1999-05-10,8.0946
World,1999-07-14,8.0951
World,1999-08-13,8.0953
World,1999-10-15,8.0945
World,1999-11-09,8.0941
World,1999-12-15,8.0934
World,2000-02-03,8.093
World,2000-03-01,8.0925
World,2000-03-29,8.0899
World,2000-04-26,8.0878
World,2000-05-25,8.0861
World,2000-06-21,8.0845
World,2000-07-26,8.0837
World,2000-08-23,8.0842
World,2000-10-18,8.0845
World,2000-11-30,8.0847
World,2000-12-20,8.0854
World,2001-01-17,8.0857
World,2001-02-14,8.0854
World,2001-03-21,8.0848
World,2001-04-18,8.0846
World,2001-05-16,8.0851
World,2001-06-14,8.087
World,2001-07-11,8.0876
World,2001-08-08,8.0872
World,2001-10-02,8.0861
World,2001-10-23,8.0866
World,2001-11-17,8.087
World,2001-12-14,8.0866
World,2002-01-16,8.0867
World,2002-02-21,8.0879
World,2002-03-13,8.089
World,2002-05-21,8.0894
World,2002-06-29,8.0872
World,2002-08-28,8.0857
World,2002-10-07,8.0866
World,2002-11-04,8.0868
World,2002-11-25,8.0871
World,2002-12-19,8.0872
World,2003-01-17,8.0875
World,2003-02-26,8.0875
World,2003-03-29,8.0872
World,2003-04-24,8.0873
World,2003-05-21,8.0878
World,2003-06-20,8.0886
World,2003-07-20,8.0893
World,2003-08-21,8.0902
World,2003-10-15,8.0911
World,2003-11-10,8.0912
World,2003-12-20,8.0924
World,2004-01-22,8.093
World,2004-02-25,8.093
World,2004-03-20,8.0939
World,2004-04-21,8.0949
World,2004-05-19,8.0948
World,2004-06-16,8.0948
World,2004-07-13,8.0946
World,2004-08-16,8.0937
World,2004-09-29,8.0921
World,2004-10-31,8.0912
World,2004-11-28,8.0908
World,2004-12-21,8.0899
World,2005-02-02,8.0893
World,2005-03-05,8.0888
World,2005-05-18,8.0871
World,2005-06-15,8.087
World,2005-07-17,8.0867
World,2005-08-14,8.0868
World,2005-09-10,8.0865
World,2005-10-09,8.0863
World,2005-11-12,8.0863
World,2005-12-13,8.086
World,2006-01-25,8.0864
World,2006-02-15,8.0867
World,2006-03-10,8.0866
World,2006-04-02,8.0868
World,2006-05-27,8.0873
World,2006-06-14,8.0869
World,2006-07-13,8.0868
World,2006-08-09,8.0873
World,2006-09-16,8.088
World,2006-10-21,8.0879
World,2006-11-09,8.0874
World,2006-12-10,8.0872
World,2007-02-07,8.0866
World,2007-03-21,8.0863
World,2007-05-05,8.0848
World,2007-07-08,8.0834
World,2007-08-04,8.0824
World,2007-09-03,8.0816
World,2007-10-03,8.0806
World,2007-12-02,8.0789
World,2007-12-21,8.0782
World,2008-01-30,8.0774
World,2008-02-24,8.0769
World,2008-05-28,8.0753
World,2008-06-26,8.0754
World,2008-07-27,8.0757
World,2008-08-17,8.0759
World,2008-10-11,8.0779
World,2008-12-01,8.08
World,2009-01-21,8.0808
World,2009-02-18,8.0814
World,2009-04-29,8.0837
World,2009-05-28,8.0842
World,2009-07-04,8.0839
World,2009-07-25,8.0836
World,2009-08-19,8.083
World,2009-09-25,8.0812
World,2009-11-04,8.0791
World,2009-12-10,8.0783
World,2010-03-10,8.0757
World,2010-04-07,8.0755
World,2010-05-19,8.0758
World,2010-06-09,8.0762
World,2010-07-09,8.0763
World,2010-08-08,8.0774
World,2010-09-04,8.0784
World,2010-10-04,8.0793
World,2010-11-21,8.0798
World,2011-01-29,8.0794
World,2011-03-01,8.0792
World,2011-04-12,8.0785
World,2011-05-10,8.078
World,2011-07-20,8.0781
World,2011-08-30,8.0776
World,2011-09-27,8.0776
World,2011-11-05,8.0775
World,2011-11-29,8.0777
World,2011-12-20,8.0779
World,2012-01-19,8.0781
World,2012-03-25,8.0779
World,2012-05-02,8.0776
World,2012-05-31,8.0774
World,2012-06-27,8.077
World,2012-08-01,8.0761
World,2012-08-18,8.0752
World,2012-09-15,8.0736
World,2012-10-08,8.0729
World,2012-12-04,8.0718
World,2013-02-13,8.07
World,2013-03-07,8.0697
World,2013-04-06,8.0691
World,2013-05-18,8.0678
World,2013-06-26,8.0664
World,2013-09-12,8.0661
World,2013-10-02,8.0664
World,2013-10-28,8.0664
World,2013-11-27,8.0663
World,2013-12-21,8.0668
World,2014-01-16,8.0673
World,2014-02-15,8.0678
World,2014-03-06,8.0678
World,2014-04-11,8.0679
World,2014-06-01,8.07
World,2014-07-01,8.0708
World,2014-09-15,8.0702
World,2014-10-14,8.0692
World,2014-11-22,8.0692
World,2014-12-17,8.0689
World,2015-02-25,8.0675
World,2015-03-29,8.0671
World,2015-04-22,8.0668
World,2015-05-24,8.0667
World,2015-06-20,8.0663
World,2015-07-20,8.0655
World,2015-08-13,8.0653
World,2015-10-14,8.0674
World,2015-11-14,8.0679
World,2015-12-09,8.0678
World,2016-01-13,8.068
World,2016-02-10,8.0683
World,2016-03-09,8.0687
World,2016-04-15,8.0689
World,2016-05-29,8.0679
World,2016-07-12,8.0683
World,2016-08-10,8.0692
World,2016-10-16,8.0686
World,2016-11-27,8.0681
World,2017-01-24,8.0669
World,2017-02-23,8.0661
World,2017-03-29,8.0655
World,2017-04-26,8.065
World,2017-05-24,8.0646
World,2017-06-21,8.0641
World,2017-08-09,8.063
World,2017-10-07,8.0621
World,2017-11-09,8.062
World,2017-12-13,8.0625
World,2018-02-26,8.0646
World,2018-04-18,8.0654
World,2018-05-16,8.0665
World,2018-06-27,8.0673
World,2018-07-25,8.0676
World,2018-09-11,8.0673
World,2018-10-13,8.0671
World,2018-11-17,8.0671
World,2019-01-16,8.065
World,2019-02-20,8.0643
World,2019-05-03,8.0616
World,2019-06-12,8.0594
World,2019-07-02,8.0587
World,2019-08-03,8.0576
World,2019-09-05,8.0563
World,2019-10-18,8.0551
World,2019-12-19,8.0537
World,2020-01-08,8.0535
World,2020-01-31,8.053
World,2020-07-16,8.0492
World,2020-08-08,8.0493
World,2020-09-01,8.0501
World,2020-09-27,8.0511
World,2020-11-19,8.0513
World,2020-12-19,8.0517
World,2021-01-13,8.0519
World,2021-02-17,8.0523
World,2021-03-24,8.0533
World,2021-04-14,8.0543
World,2021-05-17,8.0556
World,2021-06-23,8.056
World,2021-07-17,8.0558
World,2021-10-29,8.0549
World,2021-12-05,8.0539
