Entity,Code,Year,Annual CO2 emissions (zero filled)
World,OWID_WRL,1900,1952209500
World,OWID_WRL,1901,2016744400
World,OWID_WRL,1902,2067684100
World,OWID_WRL,1903,2254094800
World,OWID_WRL,1904,2279748900
World,OWID_WRL,1905,2427313200
World,OWID_WRL,1906,2534734300
World,OWID_WRL,1907,2888308000
World,OWID_WRL,1908,2776404200
World,OWID_WRL,1909,2890468000
World,OWID_WRL,1910,3033820000
World,OWID_WRL,1911,3079214800
World,OWID_WRL,1912,3235538400
World,OWID_WRL,1913,3505865200
World,OWID_WRL,1914,3179912400
World,OWID_WRL,1915,3134378200
World,OWID_WRL,1916,3385277400
World,OWID_WRL,1917,3539852500
World,OWID_WRL,1918,3492840000
World,OWID_WRL,1919,3028560000
World,OWID_WRL,1920,3521062400
World,OWID_WRL,1921,3089464300
World,OWID_WRL,1922,3239735800
World,OWID_WRL,1923,3675398000
World,OWID_WRL,1924,3686099200
World,OWID_WRL,1925,3725636600
World,OWID_WRL,1926,3659297000
World,OWID_WRL,1927,3993753900
World,OWID_WRL,1928,3976071200
World,OWID_WRL,1929,4267657200
World,OWID_WRL,1930,3934730000
World,OWID_WRL,1931,3516940500
World,OWID_WRL,1932,3170800600
World,OWID_WRL,1933,3338349300
World,OWID_WRL,1934,3630765300
World,OWID_WRL,1935,3811112000
World,OWID_WRL,1936,4181088300
World,OWID_WRL,1937,4469369300
World,OWID_WRL,1938,4201279700
World,OWID_WRL,1939,4445443000
World,OWID_WRL,1940,4854657500
World,OWID_WRL,1941,4965649000
World,OWID_WRL,1942,4953623600
World,OWID_WRL,1943,5035077000
World,OWID_WRL,1944,5110656000
World,OWID_WRL,1945,4250264000
World,OWID_WRL,1946,4638339000
World,OWID_WRL,1947,5138490000
World,OWID_WRL,1948,5415709700
World,OWID_WRL,1949,5245849000
World,OWID_WRL,1950,6003272000
World,OWID_WRL,1951,6379796500
World,OWID_WRL,1952,6465727000
World,OWID_WRL,1953,6647763000
World,OWID_WRL,1954,6789969000
World,OWID_WRL,1955,7443244000
World,OWID_WRL,1956,7924253000
World,OWID_WRL,1957,8185547000
World,OWID_WRL,1958,8417624000
World,OWID_WRL,1959,8856221000
World,OWID_WRL,1960,9387668000
World,OWID_WRL,1961,9418460000
World,OWID_WRL,1962,9751059000
World,OWID_WRL,1963,10271655000
World,OWID_WRL,1964,10829612000
World,OWID_WRL,1965,11317596000
World,OWID_WRL,1966,11866933000
World,OWID_WRL,1967,12244029000
World,OWID_WRL,1968,12910892000
World,OWID_WRL,1969,13767398000
World,OWID_WRL,1970,14898716000
World,OWID_WRL,1971,15505496000
World,OWID_WRL,1972,16228730000
World,OWID_WRL,1973,17086194000
World,OWID_WRL,1974,17017476000
World,OWID_WRL,1975,17054627000
World,OWID_WRL,1976,17991887000
World,OWID_WRL,1977,18502846000
World,OWID_WRL,1978,19077194000
World,OWID_WRL,1979,19618464000
World,OWID_WRL,1980,19501263000
World,OWID_WRL,1981,19036117000
World,OWID_WRL,1982,18884487000
World,OWID_WRL,1983,19006540000
World,OWID_WRL,1984,19664755000
World,OWID_WRL,1985,20325487000
World,OWID_WRL,1986,20627360000
World,OWID_WRL,1987,21273905000
World,OWID_WRL,1988,22107795000
World,OWID_WRL,1989,22410402000
World,OWID_WRL,1990,22757480000
World,OWID_WRL,1991,23244806000
World,OWID_WRL,1992,22580023000
World,OWID_WRL,1993,22812901000
World,OWID_WRL,1994,22969498000
World,OWID_WRL,1995,23458714000
World,OWID_WRL,1996,24159384000
World,OWID_WRL,1997,24302584000
World,OWID_WRL,1998,24213260000
World,OWID_WRL,1999,24732390000
World,OWID_WRL,2000,25453623000
World,OWID_WRL,2001,25668049000
World,OWID_WRL,2002,26281038000
World,OWID_WRL,2003,27651596000
World,OWID_WRL,2004,28636695000
World,OWID_WRL,2005,29614602000
World,OWID_WRL,2006,30593118000
World,OWID_WRL,2007,31506788000
World,OWID_WRL,2008,32085836000
World,OWID_WRL,2009,31564032000
World,OWID_WRL,2010,33364347000
World,OWID_WRL,2011,34487013000
World,OWID_WRL,2012,35006270000
World,OWID_WRL,2013,35319200000
World,OWID_WRL,2014,35577537000
World,OWID_WRL,2015,35558568000
World,OWID_WRL,2016,35524190000
World,OWID_WRL,2017,36096737000
World,OWID_WRL,2018,36826510000
World,OWID_WRL,2019,37082560000
World,OWID_WRL,2020,35264086000
World,OWID_WRL,2021,37123850000